"Code","Year.index","SHMI.index","SHMI.before","SHMI.after","Survey.observations.index","Survey.clinical.proportion.index","Survey.engagement.observations.index","Engagement.index","Survey.engagement.observations.before","Engagement.before","Survey.engagement.observations.after","Engagement.after"
"RTX",2017,1.0038,1.0335,1.0087,2055,0.62,2140,3.91,2130,3.9,2371,3.96333333333333
"RVJ",2017,0.9552,0.9667,0.9214,3667,0.63,3662,3.83,395,3.90333333333333,3310,3.85666666666667
"RVR",2017,0.9527,0.9493,0.9657,2432,0.68,2412,3.92,2500,3.95,1967,3.88333333333333
"RVV",2017,1.0156,1.0105,1.0574,3307,0.65,3630,3.82333333333333,3404,3.84,3476,3.83333333333333
"RVW",2017,1.0499,1.1029,1.0072,610,0.66,610,3.9,735,3.95333333333333,555,3.93666666666667
"RVY",2017,1.1419,1.1588,1.1316,1253,0.67,1243,3.82333333333333,1610,3.88333333333333,1113,3.83333333333333
"RW3",NA,NA,1.1179,NA,4465,0.64,4852,3.88666666666667,391,3.95,NA,NA
"RW6",2017,1.0077,1.0906,0.9723,2834,0.63,2946,3.88,3971,3.84333333333333,3098,3.85666666666667
"RWA",2017,1.1034,1.0721,1.088,3100,0.67,3428,3.94333333333333,3474,3.96333333333333,3153,3.94333333333333
"RWD",2017,1.1487,1.1139,1.1405,2916,0.66,3167,3.88666666666667,2801,3.96666666666667,3346,3.82333333333333
"RWE",2017,0.9663,1.0058,0.9901,4453,0.67,4680,3.91333333333333,431,3.97333333333333,5315,3.95333333333333
"RWF",2017,1.0219,1.0878,1.0391,399,0.6,393,3.89,437,3.94333333333333,1860,3.92
"RWG",2017,0.9798,0.8952,0.9646,1837,0.67,1841,3.96333333333333,1745,3.95,2019,4.01666666666667
"RWH",2017,1.0736,1.0231,0.999,1607,0.62,1601,3.87666666666667,1788,3.97666666666667,2350,3.92666666666667
"RWJ",2017,0.9609,0.9101,0.9631,1949,0.66,2106,3.87333333333333,1930,3.90666666666667,603,3.90666666666667
"RWP",2017,1.0476,1.0675,1.1132,1932,0.68,1935,3.92666666666667,1717,3.89666666666667,1956,3.9
"RWW",2017,1.0673,1.0978,1.0992,1780,0.62,1784,3.90666666666667,1456,3.91333333333333,1958,3.95666666666667
"RWY",2017,1.0064,1.0473,1.0025,2283,0.65,2386,3.88666666666667,545,3.95333333333333,2738,3.92333333333333
"RX1",2017,1.0185,1.0272,1.053,4847,0.67,5123,3.85666666666667,4765,3.89,5278,3.86333333333333
"RXC",2017,1.0449,1.0919,0.9996,3197,0.67,3185,3.89333333333333,2912,3.89333333333333,3579,3.9
"RXF",2017,0.9862,0.9886,0.9907,3039,0.65,3283,3.84,477,3.80333333333333,504,3.88666666666667
"RXH",2017,0.9977,0.9632,1.011,4156,0.73,4142,3.78,3094,3.82,4644,3.84666666666667
"RXK",2017,1.1259,1.0356,1.135,296,0.63,296,3.88666666666667,308,3.89666666666667,272,3.96333333333333
"RXL",2017,1.1453,1.1425,1.1499,2179,0.66,2308,3.99666666666667,2501,3.97,2278,3.97666666666667
"RXN",2017,1.044,1.0086,0.9713,3521,0.64,3785,3.92,3084,3.92,3553,3.86666666666667
"RXP",2017,1.0448,1.0612,1.0922,3078,0.73,3068,3.87,460,3.91,327,3.86
"RXQ",2017,1.0049,0.9366,0.9924,2814,0.72,2801,3.93333333333333,2959,3.96,2925,3.96666666666667
"RXR",2017,1.0675,1.0443,1.0692,3164,0.65,3305,3.93333333333333,3445,3.97,3595,3.99666666666667
"RXW",2017,1.0287,1.0031,0.9896,2345,0.62,2340,3.9,2033,3.91333333333333,2530,3.81
"RYJ",2017,0.7512,0.7645,0.7321,455,0.7,483,3.93,489,3.97333333333333,540,3.98
"RYR",2017,0.959,0.9566,0.9815,4446,0.71,4425,3.94666666666667,3894,3.93,4302,3.91333333333333
"R0A",NA,NA,NA,0.9723,NA,NA,NA,NA,NA,NA,NA,NA
"R1F",2016,1.0466,0.9944,1.1239,NA,NA,NA,NA,NA,NA,NA,NA
"R1F1",NA,NA,NA,NA,1142,0.64,1146,3.82666666666667,356,3.84333333333333,1065,3.82
"R1H",2016,0.8821,0.9003,0.9105,6161,0.7,6538,3.96333333333333,4063,3.89666666666667,6932,3.91333333333333
"R1K",2016,0.8158,0.903,0.8263,2588,0.74,2791,4.00333333333333,259,4.10666666666667,3715,4.03666666666667
"RA2",2016,0.9121,0.8637,0.8102,1232,0.69,1230,3.94666666666667,1392,3.98666666666667,1567,3.95333333333333
"RA3",2016,1.1106,1.1674,1.0219,568,0.72,567,3.89,357,3.97666666666667,722,3.86
