"Code","Year.index","SHMI.index","SHMI.before","SHMI.after","Survey.observations.index","Survey.clinical.proportion.index","Survey.engagement.observations.index","Engagement.index","Survey.engagement.observations.before","Engagement.before","Survey.engagement.observations.after","Engagement.after"
"RD1",2014,0.9673,0.976,0.9741,2552,0.71,2559,3.91,484,3.89,2265,3.90666666666667
"RD3",2014,0.9895,0.986,0.9172,449,0.76,452,3.86333333333333,514,3.94,1402,3.97333333333333
"RD7",NA,NA,0.979,NA,1238,0.68,1242,3.95,1545,3.88666666666667,NA,NA
"RD8",2014,1.0024,0.961,1.0261,370,0.71,375,3.98333333333333,405,3.84666666666667,1484,3.96
"RDD",2014,0.9838,1.082,0.9421,1185,0.68,1207,3.84666666666667,1352,3.86,1424,3.93666666666667
"RDE",2014,1.0403,1.079,1.0694,1639,0.72,1662,3.73333333333333,349,3.81666666666667,254,3.90666666666667
"RDU",2014,0.9283,0.909,0.9341,1720,0.71,1728,3.99,378,3.93666666666667,304,4.00333333333333
"RDZ",2014,1.0269,1.076,0.9843,394,0.68,403,3.84333333333333,462,3.9,1558,4.02666666666667
"RE9",2014,1.1749,1.106,1.1556,1645,0.73,1750,3.79,1429,3.80333333333333,1475,3.82666666666667
"REF",2014,1.0413,1.081,1.0857,2151,0.68,2189,3.61333333333333,2525,3.66666666666667,1831,3.76333333333333
"REM",2014,1.0759,1.132,1.0364,378,0.64,375,3.76,413,3.81666666666667,1744,3.90666666666667
"RF4",2014,0.9679,0.987,0.9598,1688,0.69,1751,3.88333333333333,1715,3.92,2035,4.01333333333333
"RFF",2014,1.0253,1.079,0.9857,1132,0.68,1184,3.72,511,3.78666666666667,1253,3.84666666666667
"RFR",2014,1.0643,1.08,1.0501,1647,0.69,1661,3.69666666666667,343,3.67,1618,3.79
"RFS",2014,0.929,1.032,0.9844,361,0.73,362,3.76333333333333,376,3.84,1993,3.93666666666667
"RFW",2014,0.8871,0.967,NA,273,0.77,279,3.76333333333333,334,3.83333333333333,890,4.02666666666667
"RGN",2014,1.0084,1.011,1.0455,365,0.68,368,3.85333333333333,406,3.92333333333333,375,3.92666666666667
"RGP",2014,1.1269,1.056,1.0895,364,0.74,370,3.96333333333333,273,3.92666666666667,398,4.02
"RGQ",2014,0.9931,1.104,0.9811,414,0.75,416,3.87333333333333,386,3.84,401,3.99666666666667
"RGR",2014,0.9034,0.951,0.8765,412,0.74,413,4,451,3.91,456,3.97
"RGT",2014,0.8916,0.86,0.8363,1888,0.63,1926,3.73,366,3.89,3176,3.95333333333333
"RH8",2014,0.9181,0.906,0.9815,331,0.67,332,3.82666666666667,384,3.78,337,3.93333333333333
"RHM",2014,1.0156,0.99,0.9509,3858,0.7,4112,3.87333333333333,474,3.78,3518,3.96
"RHQ",2014,0.918,0.884,0.9362,339,0.65,342,3.85666666666667,438,3.69666666666667,412,3.81666666666667
"RHU",2014,1.084,1.044,1.0711,3649,0.71,3703,3.88,3717,3.78333333333333,4237,3.96333333333333
"RHW",2014,1.0438,1.052,0.9457,1849,0.71,1966,3.95666666666667,453,4.02,1937,3.97666666666667
"RJ1",2014,0.8049,0.822,0.7424,271,0.66,275,3.98,409,3.92666666666667,4378,4.03666666666667
"RJ2",2014,1.0435,0.987,1.0129,1397,0.69,1400,3.82,861,3.89,1478,3.94666666666667
"RJ6",2014,0.9731,0.912,0.9858,266,0.79,267,3.89,350,4.01,NA,NA
"RJ7",2014,0.8868,0.796,0.9057,2646,0.72,2865,3.88666666666667,1519,3.78666666666667,2500,3.84333333333333
"RJC",2014,1.0504,1.054,1.0548,431,0.75,433,3.99666666666667,477,3.93666666666667,436,4.02
"RJD",NA,NA,0.904,NA,NA,NA,NA,NA,398,3.84,NA,NA
"RJE",2014,1.0232,1.074,1.033,333,0.63,374,3.81666666666667,408,3.91666666666667,284,3.99
"RJF",2014,0.9641,0.985,0.9653,387,0.72,392,3.91666666666667,523,3.85333333333333,387,4
"RJL",2014,1.0981,1.094,1.0755,237,0.66,241,3.8,303,3.81666666666667,407,3.96
"RJN",2014,0.9738,1.008,1.0279,269,0.75,274,3.86666666666667,337,3.83666666666667,1175,3.94
"RJR",2014,1.0995,1.093,1.0527,1484,0.67,1501,3.86333333333333,1794,3.94,1475,3.87
"RJZ",2014,0.9062,0.924,0.8709,241,0.78,243,3.82333333333333,331,4,244,3.96
"RK5",2014,1.0468,1.002,0.9909,371,0.67,374,3.84333333333333,396,3.93666666666667,377,3.86333333333333
"RK9",2014,0.9785,0.962,1.0047,379,0.66,381,3.65,379,3.79333333333333,2665,3.82666666666667
"RKB",2014,1.0378,1.002,1.0627,306,0.71,312,3.89666666666667,314,3.81666666666667,328,4.03
"RKE",2014,0.6553,0.624,0.6688,1394,0.73,1514,3.85,276,3.85333333333333,1186,3.93
"RL4",2014,0.9836,1,1.0395,282,0.67,284,3.8,295,3.92333333333333,327,4.10666666666667
"RLN",2014,1.0986,1.109,0.976,328,0.73,330,3.80666666666667,380,3.86,252,3.95
"RLQ",2014,1.1776,1.155,1.152,337,0.8,338,3.94,379,3.90666666666667,380,4
"RLT",2014,1.0065,1.076,1.1506,761,0.74,769,3.84333333333333,953,3.83,710,3.85333333333333
"RM1",2014,1.0194,0.966,1.0401,350,0.67,351,3.73666666666667,530,3.81,3214,3.84333333333333
"RM2",2014,0.9997,0.961,0.9793,287,0.67,291,3.87333333333333,308,3.91,302,3.82333333333333
"RM3",2014,0.9855,0.918,0.8962,417,0.69,442,3.99666666666667,467,4.02,355,3.9
"RMC",2014,1.0675,1.063,1.045,376,0.72,383,3.96666666666667,429,3.86,374,4.05
"RMP",2014,1.1494,1.118,1.1493,288,0.62,295,3.93,374,3.89,321,4.03333333333333
